Park Name,County,Park Identifier,Park Address,Fire Authority,Jurisdiction,MH Spaces,RV Lots w/Drains,RV Lots w/o Drains,Operated By
ALTA VISTA MHP,SAN DIEGO,37-0644-MP,"14291 RIOS CANYON RD, EL CAJON, CA,  92021,  (619) 744-2215","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","SAN DIEGO, DEPT. ENVIRONMENTAL HEALTH & QUALITY MOBILEHOME PARKS PROGRAM PO BOX 129261,  SAN DIEGO,  CA,  92112,  (619) 338-2222, ",60,0,0,"ALTA VISTA VIEW LLC, 14291 RIOS CANYON RD., EL CAJON,  CA,  92021, "
HEART OHILLS MH LODGE,SAN DIEGO,37-0650-MP,"13792 HWY 8 BUS, EL CAJON, CA,  92021,  (619) 270-0648","undefined , undefined, undefined, undefined,undefined,undefined,","SAN DIEGO, DEPT. ENVIRONMENTAL HEALTH & QUALITY MOBILEHOME PARKS PROGRAM PO BOX 129261,  SAN DIEGO,  CA,  92112,  (619) 338-2222, ",46,0,0,"MCCOY, JEAN, 13792 HIGHWAY 8 BUSINESS, EL CAJON,  CA,  92021, "
PECAN PARK MH ESTATES,SAN DIEGO,37-0671-MP,"14215 PECAN PARK LN, EL CAJON, CA,  92021,  (619) 697-3191","undefined , undefined, undefined, undefined,undefined,undefined,","SAN DIEGO, DEPT. ENVIRONMENTAL HEALTH & QUALITY MOBILEHOME PARKS PROGRAM PO BOX 129261,  SAN DIEGO,  CA,  92112,  (619) 338-2222, ",128,0,0,"PECAN COMMUNITY ASSOCIATION, 14215 PECAN PARK LANE, EL CAJON,  CA,  92021, "
SHANGRI LA,SAN DIEGO,37-0722-MP,"14012 HWY 8 BUS, EL CAJON, CA,  92021,  (619) 390-0505","undefined , undefined, undefined, undefined,undefined,undefined,","SAN DIEGO, DEPT. ENVIRONMENTAL HEALTH & QUALITY MOBILEHOME PARKS PROGRAM PO BOX 129261,  SAN DIEGO,  CA,  92112,  (619) 338-2222, ",10,0,0,"ELLIS, JOSEPH, 14609 EVENING STAR DRIVE, POWAY,  CA,  92064, "
EL CAPITAN MOBILE HOME PARK,SAN DIEGO,37-0061-MP,"1425 E MADISON AVE, EL CAJON, CA,  92021,  (999) 423-7555","undefined , undefined, undefined, undefined,undefined,undefined,","EL CAJON, MOBILEHOME PARKS PROGRAM 200 EAST MAIN, THIRD FLOOR,  EL CAJON,  CA,  92020,  (619) 441-1726, PAVAO, DAN",76,0,0,"PCP-EL CAPITAN LP, PO BOX 11427, SANTA ANA,  CA,  92711, "
LOS COSHES MHE,SAN DIEGO,37-0695-MP,"13217 AURORA DR, EL CAJON, CA,  92021,  (619) 597-4900","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","SAN DIEGO, DEPT. ENVIRONMENTAL HEALTH & QUALITY MOBILEHOME PARKS PROGRAM PO BOX 129261,  SAN DIEGO,  CA,  92112,  (619) 338-2222, ",126,0,0,"ALLIANCE INVESTMENT CORP, 4330 LA JOLLA VILLAGE DRIVE, #240, SAN DIEGO,  CA,  92122, "
ACRES OF PARADISE MHP,BUTTE,04-0042-MP,"6280 PENTZ RD, PARADISE, CA,  95969,  (530) 877-5688","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",53,5,0,"ACRES OF PARADISE MHP LLC, 1910 TERRACINA DR # 100, SACRAMENTO,  CA,  95834, "
IDLEWILD ESTATES,BUTTE,04-0086-MP,"5393 SAWMILL RD, PARADISE, CA,  95969,  (530) 282-5652","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",35,2,0,"IDLEWILD ESTATES LLC, 214 MAIN ST. # 147, EL SEGUNDO,  CA,  90245, "
J AND M,BUTTE,04-0041-MP,"5770 CLARK RD, PARADISE, CA,  95969,  (530) 533-1362","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",6,0,0,"NEADE, MIKE, 4440 CLARK RD., OROVILLE,  CA,  95965, "
HOLLY HILLS MOBILE ESTATES,BUTTE,04-0094-MP,"5471 S LIBBY RD, PARADISE, CA,  95969,  (530) 592-6583","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",48,0,0,"THE RANDAL CRAIG AHR REVOCABLE LIVING TRUST, 14672 COLTER WAY, MAGALIA,  CA,  95954, "
CAPE COD MOBILE ESTATES,BUTTE,04-0084-MP,"6799 SKYWAY, PARADISE, CA,  95969,  (530) 656-5653","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",49,0,0,"CAPE COD MOBILE ESTATES, LLC, 455 CAPITOL MALL #235, SACRAMENTO,  CA,  95814, "
SHERWOOD FOREST MHP,BUTTE,04-0093-MP,"1280 WAGSTAFF RD, PARADISE, CA,  95969,  (530) 801-1996","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",73,0,0,"SHERWOOD FOREST MHP LLC, 846 BAUER DR, SAN CARLOS,  CA,  94070, "
BLUE SPRUCE MOBILE ESTATES,BUTTE,04-0107-MP,"7035 PENTZ RD, PARADISE, CA,  95969,  (530) 872-2920","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",32,0,0,"MORGAN, CHRISTOPHER, PO BOX 1253, ROCKLIN,  CA,  95677, "
QUAIL TRAILS VILLAGE,BUTTE,04-0092-MP,"5081 WILDERNESS WAY, PARADISE, CA,  95969,  (530) 877-6581","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",99,20,0,"LENZ, ROBERT, 3515 HIGHLAND AVE SUITE # 101, MANHATTAN BEACH,  CA,  90266, "
BLUE HAVEN MHP,BUTTE,04-0118-MP,"5510 CLARK RD, PARADISE, CA,  95969,  (530) 872-8100","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",37,0,0,"BLUE HAVEN MHP LLC, 1910 TERRACINA DR # 100, SACRAMENTO,  CA,  95834, "
FOREST GLEN MHP,BUTTE,04-0102-MP,"1080 PEARSON RD, PARADISE, CA,  95969,  (408) 371-1322","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",24,0,0,"CATANHO, KATHY, 3369 SOMERSET AVE, CASTRO VALLEY,  CA,  94546, "
PINE GROVE MHP,BUTTE,04-0132-MP,"1368 GARNET LN, PARADISE, CA,  95969,  (630) 327-7029","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",78,0,0,"HELD, ROBERTA, 3706 LINDBROOK DR, ROCKLIN,  CA,  95765, "
ROCKY LANE MP,BUTTE,04-0101-MP,"6582 ROCKY LN, PARADISE, CA,  95969,  (530) 877-7902","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",28,0,0,"MCNEIL, DENNIS & RETZLOFF, TODD, C/O TRIDENT PROPERTY MANAGEMENT 1110 CIVIC CENTER BLVD STE 102, YUBA CITY,  CA,  95991, "
WOODLANDS MOBILE HOME PARK,BUTTE,04-0106-MP,"5838 BLACK OLIVE, PARADISE, CA,  95969,  (530) 872-1431","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",21,0,0,"SCHOTT, RUDOLF & DAVID, PO BOX 463, MOUNT SHASTA,  CA,  96067, "
LIME SADDLE MOBILE HOME PARK,BUTTE,04-0120-MP,"4333 PENTZ RD, PARADISE, CA,  95969,  (916) 871-3208","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",31,0,0,"CES VENTURES LLC, 1805 GABLE DRIVE, WOODLAND,  CA,  95776, "
PINE RIDGE PARK,BUTTE,04-0126-MP,"5084 PENTZ RD, PARADISE, CA,  95969,  (530) 877-0677","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",1,42,0,"HEIDI RORICK-EVANS & HUCK RORICK, 10608 INDUSTRIAL AVE #100, ROSEVILLE,  CA,  95678, "
SAWMILL EDGEWOOD MHP,BUTTE,04-0083-MP,"5427 EDGEWOOD LN, PARADISE, CA,  95969,  (916) 432-3298","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",45,0,0,"SAWMILL EDGEWOOD MHP LLC, 3511 DEL PASO RD #160147, SACRAMENTO,  CA,  95835, "
HUDSONS MOBILE HOME PARK,BUTTE,04-0004-MP,"7974 SKYWAY, PARADISE, CA,  95969,  (530) 872-1573","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",12,0,0,"EDGECOMB, DAVID & NADINE, TRUSTERS OF THE EDGECOMB REVOCABLE INTER VIVCS TRUST & SCOTT HUDSON, 5630 CHERRY LANE, PARADISE,  CA,  95969, "
PHEASANT RIDGE MOBILE ESTATES,BUTTE,04-0005-MP,"7075 CLARK RD, PARADISE, CA,  95969,  (530) 872-9563","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",67,0,0,"PHEASANT, RIDGE ASSET PARTNERS, LP, PO BOX 2308, LAGUNA HILLS,  CA,  92654, "
PARADISE TP,BUTTE,04-0016-MP,"6154 LUCKY JOHN RD, PARADISE, CA,  95969,  (530) 877-6015","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",2,18,0,"HAYGOOD, MARGOT, PO BOX 5786, REDWOOD CITY,  CA,  94063, "
TIDY OAKS,BUTTE,04-0019-MP,"9141 SKYWAY, PARADISE, CA,  95969,  (530) 812-7117","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",10,0,0,"TYSON, WILBUR, 5905 CLARK RD, PARADISE,  CA,  95969, "
CRENSHAW TP,LOS ANGELES,19-1308-MP,"13707 CRENSHAW BLVD, HAWTHORNE, CA,  90250,  (310) 679-2077","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",0,34,0,"MAHLMEISTER, LLC, PO BOX 2176, HUNTINGTON BEACH,  CA,  92647, "
IMPERIAL TP,LOS ANGELES,19-0316-MP,"3670 W IMPERIAL HWY, HAWTHORNE, CA,  90250,  (818) 280-3480","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",58,0,0,"MENLO, SAM, 4221 WILSHIRE BLVD SUITE # 210, LOS ANGELES,  CA,  90010, "
HAWTHORNE MHP,LOS ANGELES,19-0318-MP,"12414 INGLEWOOD AVE, HAWTHORNE, CA,  90250,  (818) 902-1003","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",10,0,0,"IMPERIAL ESTATE MANAGEMENT, 18017 CHATSWORTH ST SPACE # 82, GRANADA HILLS,  CA,  91344, "
SKYLARK HAWTHORNE MP,LOS ANGELES,19-0109-MP,"3225 W ROSECRANS AVE, HAWTHORNE, CA,  90250,  (818) 284-0958","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",18,0,0,"DOLORES V STOCKTON REVOCABLE LIVING TRUST ELLIE PAGE TRUSTEE, 12501 BURBANK BLVD #4-109 VALLEY VILLAGE CA, 91607, NORTH HOLLYWOOD,  CA,  91607, "
IMPERIAL TRAILER PARK,LOS ANGELES,13-0018-MP,"600 N IMPERIAL AVE, HAWTHORNE, CA,  90250,  ","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","LOS ANGELES, 801 MAIN STREET,  EL CENTRO,  CA,  92243,  (760) 482-4311, RUBIO, SERGIO",8,0,0,"HOLCOM, BRADLEY, PO BOX 3162, SAN DIEGO,  CA,  92163, "
CARAVAN TRAILER LODGE,LOS ANGELES,19-0789-MP,"13007 YUKON AVE, HAWTHORNE, CA,  90250,  (310) 406-2200","COUNTY OF LOS ANGELES , 5823 RICKENBACKER RD., COMMERCE, CA,90040,3238904226,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",19,0,0,"BARKER, ROD, 2699 PACIFIC COAST HWY SUITE 100, HERMOSA BEACH,  CA,  90254, "
LAMPLIGHTER CHINO MHP,SAN BERNARDINO,36-0517-MP,"4400 PHILADELPHIA ST, CHINO, CA,  91710,  (909) 627-3514","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",260,0,0,"CELERIS INC, 4400 PHILADELPHIA STREET, CHINO,  CA,  91710, "
RAMONA MHP,SAN BERNARDINO,36-0609-MP,"11906 RAMONA AVE, CHINO, CA,  91710,  (909) 594-0501","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",48,0,0,"RAMONA MHP, LLC, 430 SOUTH SAN DIMAS AVE, SAN DIMAS,  CA,  91773, "
FOUR SEASONS MOBILE HOME PARK,SAN BERNARDINO,36-0174-MP,"5925 RIVERSIDE DR, CHINO, CA,  91710,  (909) 464-2963","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",33,0,0,"CONNORS FAMILY TRUST, PO BOX 11427, SANTA ANA,  CA,  92711, "
EL RANCHO MOBILE HOME PARK,SAN BERNARDINO,36-0318-MP,"12955 YORBA AVE, CHINO, CA,  91710,  (818) 796-4796","undefined , undefined, undefined, undefined,undefined,undefined,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",50,0,0,"MCNEELY, DALE, 22646 GALILEN, MISSION VIEJO,  CA,  92692, "
PEMBROKE DOWNS MH COMMUNITY,SAN BERNARDINO,36-0503-MP,"12400 CYPRESS AVE, CHINO, CA,  91710,  (909) 628-0919","HCD - SOUTHERN AREA OFFICE , 3737 MAIN ST 400, RIVERSIDE, CA,92501,18009528356,","HCD, 3737 MAIN ST 400,  RIVERSIDE,  CA,  92501,  18009528356, ",163,0,0,"CAREFREE COMMUNITIES CA, LLC, 27777 FRANKLIN ROAD SUITE # 300, SOUTHFIELD,  MI,  48034, "
MIDDLE CREEK CAMPGROUND,ALPINE,02-0010-MP,"LOWER BLUE LAKE, MARKLEEVILLE, CA,  96120,  (916) 923-0769","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,5,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO,  CA,  95833, "
UPPER BLUE CAMPGROUND,ALPINE,02-0008-MP,"UPPER BLUE LAKE, MARKLEEVILLE, CA,  96120,  (916) 923-7069","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,32,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO,  CA,  95833, "
HOPE VALLEY RESORT,ALPINE,02-0002-MP,"14655 HWY 88, MARKLEEVILLE, CA,  96120,  (530) 694-2203","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,20,6,"BRISSENDEN, JOHN & PATTY, 14255 HWY 88, MARKLEEVILLE,  CA,  96120, "
SIERRA PINES PARK,ALPINE,02-0007-MP,"19750 HWY 89, MARKLEEVILLE, CA,  96120,  (530) 694-9105","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",30,0,0,"DYKES, ROB, PO BOX 53, MINDEN,  NV,  89423, "
LOWER BLUE LAKE CAMPGROUND,ALPINE,02-0009-MP,"LOWER BLUE LAKE, MARKLEEVILLE, CA,  96120,  (916) 923-7069","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,16,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO,  CA,  95833, "
UPPER BLUE LAKE DAM CAMPGROUND,ALPINE,02-0011-MP,"UPPER BLUE LAKE, MARKLEEVILLE, CA,  96120,  (916) 923-7069","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,10,"PG&E, 2730 GATEWAY OAKS #220, SACRAMENTO,  CA,  95833, "
DAYS END RV PARK,LASSEN,18-10400-MP,"718-755 U.S. HWY 395, STANDISH, CA,  96128,  (530) 254-1094","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,27,0,"MCCULLOUGH, SCOTT, 706-714 US HWY 395 E, SUSANVILLE,  CA,  96130, "
NORTHSHORE T. P,PLACER,31-10160-MP,"8715 SALON ST, KINGS BEACH, CA,  96143,  ","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",,,,"undefined, undefined, undefined,  undefined,  undefined, "
STOKER'S TRAILER PARK,PLACER,31-0008-MP,"8560-8595 TROUT STREET, KINGS BEACH, CA,  96143,  (510) 581-0974","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",,,,"undefined, undefined, undefined,  undefined,  undefined, "
KINGS BEACH MHP,PLACER,31-0009-MP,"8715 SALMON AVE, KINGS BEACH, CA,  96143,  (530) 546-8286","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",42,2,1,"KINGS BEACH LP, PO BOX 1919, RANCHO CUCAMONGA,  CA,  91729, "
WHISPERING PINES CT,PLACER,31-0027-MP,"345 FOX ST, KINGS BEACH, CA,  96143,  (530) 546-2856","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",14,0,0,"STAFFORD, R, PO BOX 1588, KINGS BEACH,  CA,  96143, "
BLUE WATERS TP,PLACER,31-0022-MP,"221 CHIPMUNK ST, KINGS BEACH, CA,  96143,  (530) 546-7884","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,15,0,"FRANKLIN, CHARLES, 18045 RED BANK ROAD, RED BLUFF,  CA,  96080, "
OBRIENS TP,PLACER,31-0031-MP,"8345 TROUT ST, KINGS BEACH, CA,  96143,  (530) 546-8304","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",10,2,0,"RISING TIDE VENTURES LLC, 9565 WAPLES STREET SUITE # 200, SAN DIEGO,  CA,  92121, "
RAINBOW CT,PLACER,31-0033-MP,"326 FOX ST, KINGS BEACH, CA,  96143,  (530) 546-7787","undefined , undefined, undefined, undefined,undefined,undefined,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",14,0,0,"STAFFORD, R, PO BOX 1588, KINGS BEACH,  CA,  96143, "
8679 TROUT LLC,PLACER,31-0043-MP,"8679 TROUT AVENUE, KINGS BEACH, CA,  96143,  (530) 448-2523","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",7,0,0,"8679 TROUT, LLC, PO BOX 1678, TAHOE CITY,  CA,  96145, "
HAND O FORTUNE CT,PLACER,31-0078-MP,"8679 SALMON ST, KINGS BEACH, CA,  96143,  (530) 546-3462","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",2,10,0,"BRUENING ASSOC, PO BOX 1855, KINGS BEACH,  CA,  96143, "
TRUCKEE CREEK COTTAGES,EL DORADO,09-0027-MP,"2333 ELOISE STREET, SOUTH LAKE TAHOE, CA,  96151,  (949) 646-7622","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",30,0,0,"RMTC DEVELOPMENT, LLC, 2333 ELOISE AVE APT. # 7, SOUTH LAKE TAHOE,  CA,  96150, "
VILLAGE GREEN MP,NEVADA,29-0010-MP,"11070 BROCKWAY RD, TRUCKEE, CA,  96161,  (530) 587-3326","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",102,27,0,"HERBERT KEITH / KEITH FAMILY, C/O LAPHAM COMPANY 4844 TELEGRAPH AVE, OAKLAND,  CA,  94609, "
ALDER CREEK CAMPGROUND,NEVADA,29-0045-MP,"13813 ALDER CREEK RD, TRUCKEE, CA,  96161,  (530) 587-9462","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,0,51,"TAHOE DONNER ASSOCIATION, 11509 NORTHWOODS BLVD, TRUCKEE,  CA,  96161, "
TRUCKEE RIVER RV PARK,NEVADA,29-13126-MP,"10068 HIRSCHDALE RD., TRUCKEE, CA,  96161,  (530) 386-5357","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,55,0,"INIS, WALTER, 10068 HIRSCHDALE RD, TRUCKEE,  CA,  96161, "
VILLAGE CAMP TRUCKEE,NEVADA,29-0036-MP,"10100 PIONEER TRAIL, TRUCKEE, CA,  96161,  (530) 587-3071","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",0,130,0,"VC TRUCKEE LLC, 16427 N SCOTTSDALE RD SUITE # 400, SCOTTSDALE,  AZ,  85254, "
COACHLAND MHP,NEVADA,29-0033-MP,"10100 PIONEER TRAIL, TRUCKEE, CA,  96161,  (530) 587-3071","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",102,0,0,"VC TRUCKEE LLC, 16427 N SCOTTSDALE RD SUITE # 400, SCOTTSDALE,  AZ,  85254, "
LAKESHORE RESORT,FRESNO,10-0071-MP,"61953 HUNTINGTON LAKE RD, LAKESHORE, CA,  93634,  (559) 893-3193","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",2,20,0,"SHERRY, STEPHEN, 61953 HUNTINGTON LAKE RD, LAKESHORE,  CA,  93634, "
REDWOODS ON THE RIVER,SANTA CRUZ,44-0028-MP,"265 BROWN GABLES RD, BEN LOMOND, CA,  95005,  (408) 336-5182","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",33,0,0,"BENEDUM, STEVE & PEGGY, PO BOX 67443, SCOTTS VALLEY,  CA,  95067, "
TOWN\COUNTRY MHP,SANTA CRUZ,44-0064-MP,"9244 HWY 9, BEN LOMOND, CA,  95005,  (408) 336-2882","HCD - NORTHERN AREA OFFICE , 9342 TECH CENTER DR, SACRAMENTO, CA,95826,18009528356,","HCD, 9342 TECH CENTER DR,  SACRAMENTO,  CA,  95826,  18009528356, ",13,0,0,"THOMAS, RICK, PO BOX 3, BEN LOMOND,  CA,  95005, "
